Date,Signal,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Driver_1_Name,Driver_1_Beta,Driver_2_Name,Driver_2_Beta,Driver_3_Name,Driver_3_Beta
2001-10-15,BUY,0.010781671159029615,True,Gold,0.02743136972342893,0.02743136972342893,MSCI EM,-0.008481021910540367,Gold,0.02743136972342893,,
2001-12-12,BUY,0.022029244620394683,True,Gold,-0.06112393418094899,0.06112393418094899,MSCI World ex-US,-0.02103339544330282,Gold,-0.06112393418094899,,
2001-12-14,BUY,0.01961538461538459,True,Gold,-0.07847480456696503,0.07847480456696503,MSCI World ex-US,-0.035784307211261066,Gold,-0.07847480456696503,,
2001-12-26,SELL,-0.0024990628514307556,True,Gold,-0.09576673051253713,0.09576673051253713,MSCI EM,-0.02648415644248629,Gold,-0.09576673051253713,,
2002-03-20,BUY,0.006583945302608418,True,Local - Wilshire,0.12551981612057395,0.12551981612057395,Local - Wilshire,0.12551981612057395,,,,
2002-04-24,BUY,0.0016583747927030323,True,MSCI World ex-US,-0.07667255267623944,0.07667255267623944,MSCI World ex-US,-0.07667255267623944,,,,
2002-07-31,SELL,-0.012877161974498175,True,Gold,-0.22520445105645887,0.22520445105645887,Local Index,-0.22021235641998382,VIX Index,0.0060181960954689565,Gold,-0.22520445105645887
2002-08-05,SELL,-0.014337590783871756,True,Gold,-0.2630397218349196,0.2630397218349196,Local Index,-0.22277985772716016,VIX Index,0.007318564239797152,Gold,-0.2630397218349196
2002-09-12,SELL,-0.007374724235739039,True,2y yield,4.1144075700370735,4.1144075700370735,MSCI World ex-US,-0.08678134784541898,Gold,-0.23854492556709905,2y yield,4.1144075700370735
2002-12-17,BUY,0.015374677002583992,True,Copper LME,-0.14407306562095404,0.14407306562095404,MSCI World ex-US,-0.01140286867804372,Copper LME,-0.14407306562095404,VIX Index,-0.002459719061389917
2003-02-11,SELL,-0.020563195808775303,True,MSCI World ex-US,-0.052712587910101305,0.052712587910101305,MSCI World ex-US,-0.052712587910101305,Copper LME,-0.02847017333788964,VIX Index,0.037212797459623914
