Date,Signal,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Driver_1_Name,Driver_1_Beta,Driver_2_Name,Driver_2_Beta,Driver_3_Name,Driver_3_Beta
2001-12-18,BUY,0.029722330856472468,True,Gold,-0.0847058470386481,0.0847058470386481,Gold,-0.0847058470386481,,,,
2002-01-15,BUY,0.017691017233491202,True,Gold,0.05520186131078566,0.05520186131078566,Gold,0.05520186131078566,,,,
2002-02-04,BUY,0.002720060445787764,True,Gold,-0.020223588524936303,0.020223588524936303,Gold,-0.020223588524936303,,,,
2002-03-06,BUY,0.010714012397643025,True,FN1 Comdty,0.016148705862424725,0.016148705862424725,FN1 Comdty,0.016148705862424725,,,,
2002-06-04,BUY,0.0016110842597067965,True,Asia EMFX,1.7819848826733455,1.7819848826733455,MSCI World - Wilshire,-0.49758105635596445,Asia EMFX,1.7819848826733455,Gold,-0.03393671782955754
2002-09-20,SELL,-0.0008914100486223653,True,Asia EMFX,1.1187657380632712,1.1187657380632712,MSCI World - Wilshire,0.06350979776151698,Asia EMFX,1.1187657380632712,Gold,-0.3790019008669734
2003-02-05,SELL,-0.01107779443611523,True,Asia EMFX,0.932030270064976,0.932030270064976,MSCI World - S&P500,-0.35445276834661577,Asia EMFX,0.932030270064976,Gold,-0.09659830012691939
2003-05-06,SELL,-0.007825125457174398,True,2y yield,4.662560593565305,4.662560593565305,2y yield,4.662560593565305,Gold,-0.0551287945652707,MSCI World - Dow Jones,0.03829931930702392
2003-10-31,SELL,-0.014462434054939077,True,2y yield,-0.3830907136131345,0.3830907136131345,MSCI World - Dow Jones,0.01360705291857315,2y yield,-0.3830907136131345,Gold,-0.14178000609886793
2004-06-23,BUY,0.0011981566820276068,True,MSCI World ex-US,-0.38084416411592076,0.38084416411592076,MSCI World ex-US,-0.38084416411592076,Gold,-0.28836532789199176,Asia EMFX,-0.20245787501484333
2004-09-27,SELL,-0.01734207925240372,True,5y yield,2.6788010684126164,2.6788010684126164,Gold,-0.13178212030819142,MSCI World ex-US,-0.03166417632393337,5y yield,2.6788010684126164
